season,date,home_team,away_team,home_odds,draw_odds,away_odds,over_1_5_odds,over_2_5_odds,btts_odds,source
2024,2024-07-30,Sport Huancayo,César Vallejo,1.74,3.43,4.27,1.29,1.91,1.83,footystats
2024,2024-07-30,Sport Boys,Cienciano,2.06,3.16,3.34,1.28,1.99,1.8,footystats
2024,2024-07-29,Deportivo Garcilaso,Real Garcilaso,1.68,3.08,4.01,1.3,2.12,1.76,footystats
2024,2024-07-27,ADT,Los Chankas,1.44,4.33,5.5,1.2,1.65,1.81,footystats
2024,2024-07-27,Sporting Cristal,Cienciano,1.33,5,6.5,1.15,1.55,1.83,footystats
2024,2024-07-26,Universitario,Alianza Lima,1.88,3.1,4,1.48,2.38,2.12,footystats
2024,2024-07-26,Deportivo Garcilaso,Sport Boys,1.53,3.8,5.25,1.29,1.8,1.91,footystats
2024,2024-07-26,Comerciantes Unidos,Carlos Manucci,1.73,3.5,4.2,1.29,1.91,1.82,footystats
2024,2024-07-25,César Vallejo,UTC Cajamarca,1.48,4.03,5.62,1.25,1.69,1.85,footystats
2024,2024-07-25,Real Garcilaso,Sport Huancayo,1.74,3.83,4.1,1.28,1.95,1.87,footystats
2024,2024-07-25,Alianza Atlético,Melgar,3.79,3.19,1.91,1.38,2.21,2,footystats
2024,2024-07-21,Cienciano,ADT,2.13,3.2,3.05,1.3,1.89,1.72,footystats
2024,2024-07-21,Sporting Cristal,Sport Boys,1.28,4.87,7.9,1.2,1.59,2.05,footystats
2024,2024-07-21,Carlos Manucci,Unión Comercio,1.78,3.43,3.9,1.3,1.82,1.78,footystats
2024,2024-07-21,Atlético Grau,Universitario,3.2,3.33,2.01,1.4,2.12,1.91,footystats
2024,2024-07-20,Alianza Lima,Alianza Atlético,1.18,5.78,12.3,1.2,1.69,2.4,footystats
2024,2024-07-20,Melgar,César Vallejo,1.29,4.78,7.85,1.22,1.68,2,footystats
2024,2024-07-20,Los Chankas,Comerciantes Unidos,1.55,4,5.7,1.24,1.72,1.78,footystats
2024,2024-07-19,Sport Huancayo,Deportivo Garcilaso,1.91,3.25,3.4,1.27,1.85,1.75,footystats
2024,2024-07-19,UTC Cajamarca,Real Garcilaso,2.25,3,2.9,1.4,2.1,1.88,footystats
2024,2024-07-14,Real Garcilaso,Melgar,3,3.2,2.2,1.3,2,1.8,footystats
2024,2024-07-14,Sport Boys,Sport Huancayo,1.83,3.1,4.2,1.36,2.1,1.94,footystats
2024,2024-07-14,Alianza Atlético,Atlético Grau,2.3,3.1,2.9,1.42,2.25,1.96,footystats
2024,2024-07-13,Universitario,Carlos Manucci,1.11,8,20,1.18,1.58,2.8,footystats
2024,2024-07-13,César Vallejo,Alianza Lima,3.6,3.15,2.08,1.45,2.35,2,footystats
2024,2024-07-13,Comerciantes Unidos,Cienciano,2.88,3.25,2.38,1.33,2,1.8,footystats
2024,2024-07-12,Deportivo Garcilaso,UTC Cajamarca,1.6,3.75,4.57,1.28,1.78,1.73,footystats
2024,2024-07-12,ADT,Sporting Cristal,2.44,3.12,2.44,1.25,1.75,1.62,footystats
2024,2024-07-12,Unión Comercio,Los Chankas,1.91,3.2,3.65,1.3,1.81,1.73,footystats
2024,2024-05-27,Unión Comercio,Cienciano,2.35,3.2,3.1,1.3,1.9,1.67,footystats
2024,2024-05-26,Sport Boys,ADT,2.45,3.2,2.8,1.33,2.15,1.85,footystats
2024,2024-05-26,Alianza Atlético,Carlos Manucci,1.62,3.7,5.5,1.28,1.95,1.9,footystats
