Date,HomeTeam,HomeForm,AwayTeam,AwayForm,HomeScore,AwayScore,HomeOdds,DrawOdds,AwayOdds
2025-05-18,Sport Huancayo,1.37,Sport Boys,1.03,1,0,1.53,4.20,5.75
2025-05-17,Real Garcilaso,1.97,Los Chankas,1.43,3,3,1.55,4.10,5.25
2025-05-17,Sporting Cristal,1.74,ADT,1.40,2,1,1.36,4.75,8.00
2025-05-17,UTC Cajamarca,0.92,Comerciantes Unidos,1.06,2,0,2.00,3.30,3.80
2025-05-16,Alianza Atlético,1.63,Deportivo Garcilaso,1.49,1,0,1.75,3.30,4.75
2025-05-12,Alianza Universidad,0.80,Sport Huancayo,1.37,0,1,2.10,3.50,3.00
2025-05-11,Universitario,2.26,Alianza Atlético,1.63,0,1,1.42,4.50,7.00
2025-05-11,Deportivo Garcilaso,1.49,Real Garcilaso,1.97,1,3,2.63,2.88,2.90
2025-05-11,ADT,1.40,Juan Pablo II College,0.94,2,2,1.33,5.25,7.50
2025-05-11,Los Chankas,1.43,UTC Cajamarca,0.92,2,1,1.70,3.50,4.75
2025-05-10,Cienciano,1.43,Melgar,1.60,1,2,2.88,3.20,2.50
2025-05-10,Atlético Grau,1.09,Alianza Lima,1.89,1,1,5.00,3.50,1.70
2025-05-10,Ayacucho,0.83,Sporting Cristal,1.74,1,4,1.90,3.40,3.60
2025-05-09,Comerciantes Unidos,1.06,Deportivo Binacional,1.00,1,1,1.75,3.40,4.75
2025-05-04,Deportivo Binacional,1.00,Los Chankas,1.43,1,2,2.15,3.30,3.20
2025-05-04,Alianza Atlético,1.63,ADT,1.40,2,0,2.00,3.30,3.60
2025-05-04,Sport Boys,1.03,Alianza Universidad,0.80,4,2,1.60,4.00,5.25
2025-05-03,Real Garcilaso,1.97,Universitario,2.26,2,0,2.55,3.10,2.80
2025-05-03,Juan Pablo II College,0.94,Ayacucho,0.83,0,0,1.75,3.70,4.33
2025-05-03,UTC Cajamarca,0.92,Deportivo Garcilaso,1.49,2,1,2.88,2.90,2.63
2025-05-02,Alianza Lima,1.89,Cienciano,1.43,0,1,1.30,4.75,10.00
2025-05-02,Sport Huancayo,1.37,Atlético Grau,1.09,3,0,1.50,3.80,7.00
2025-05-01,Melgar,1.60,Comerciantes Unidos,1.06,1,1,1.20,6.00,13.00
2025-04-28,Cienciano,1.43,Sport Huancayo,1.37,2,1,2.20,3.30,3.10
2025-04-28,ADT,1.40,Real Garcilaso,1.97,2,1,2.10,3.30,3.40
2025-04-28,Sporting Cristal,1.74,Juan Pablo II College,0.94,3,2,1.22,6.50,10.00
2025-04-27,Universitario,2.26,UTC Cajamarca,0.92,6,0,1.17,8.00,13.00
2025-04-27,Atlético Grau,1.09,Sport Boys,1.03,3,3,1.83,3.40,4.50
2025-04-27,Los Chankas,1.43,Melgar,1.60,1,1,3.50,3.25,2.05
2025-04-26,Deportivo Garcilaso,1.49,Deportivo Binacional,1.00,0,1,1.30,5.00,8.00
2025-04-26,Ayacucho,0.83,Alianza Atlético,1.63,0,2,2.20,2.90,3.50
2025-04-20,Sport Huancayo,1.37,Comerciantes Unidos,1.06,4,2,1.36,4.75,8.50
2025-04-20,UTC Cajamarca,0.92,ADT,1.40,0,1,2.90,3.10,2.35
2025-04-19,Real Garcilaso,1.97,Ayacucho,0.83,3,0,1.45,4.00,7.50
2025-04-19,Alianza Atlético,1.63,Sporting Cristal,1.74,1,0,3.30,3.50,2.05
2025-04-19,Sport Boys,1.03,Cienciano,1.43,2,2,1.73,3.60,4.75
2025-04-18,Alianza Lima,1.89,Los Chankas,1.43,1,0,1.30,6.00,7.50
2025-04-18,Deportivo Binacional,1.00,Universitario,2.26,1,3,2.90,3.25,2.35
2025-04-18,Melgar,1.60,Deportivo Garcilaso,1.49,1,2,1.53,3.80,6.50
2025-04-17,Alianza Universidad,0.80,Atlético Grau,1.09,0,0,2.40,3.10,3.00
2025-04-14,Deportivo Garcilaso,1.49,Alianza Lima,1.89,0,1,2.15,3.00,3.60
2025-04-13,Universitario,2.26,Melgar,1.60,4,1,1.83,3.20,4.75
2025-04-13,ADT,1.40,Deportivo Binacional,1.00,1,1,1.29,5.25,10.00
2025-04-13,Comerciantes Unidos,1.06,Sport Boys,1.03,0,4,2.20,3.20,3.25
2025-04-13,Sporting Cristal,1.74,Real Garcilaso,1.97,1,0,1.40,4.33,8.00
2025-04-12,Cienciano,1.43,Alianza Universidad,0.80,0,1,1.48,4.33,5.75
2025-04-12,Juan Pablo II College,0.94,Alianza Atlético,1.63,1,0,2.75,3.30,2.45
2025-04-11,Los Chankas,1.43,Sport Huancayo,1.37,1,3,2.35,3.20,3.00
2025-04-11,Ayacucho,0.83,UTC Cajamarca,0.92,0,1,1.90,3.50,4.00
2025-04-06,Alianza Universidad,0.80,Comerciantes Unidos,1.06,0,2,1.65,3.70,5.25
2025-04-06,UTC Cajamarca,0.92,Sporting Cristal,1.74,4,1,2.63,3.80,2.30
2025-04-06,Sport Boys,1.03,Los Chankas,1.43,1,1,1.60,3.80,5.50
2025-04-06,Real Garcilaso,1.97,Juan Pablo II College,0.94,4,2,1.25,6.00,11.00
2025-04-05,Alianza Lima,1.89,Universitario,2.26,1,1,2.30,3.25,3.10
2025-04-05,Melgar,1.60,ADT,1.40,4,0,1.48,4.00,7.00
2025-04-05,Atlético Grau,1.09,Cienciano,1.43,1,1,1.62,3.70,5.50
2025-04-04,Sport Huancayo,1.37,Deportivo Garcilaso,1.49,0,3,2.05,3.20,3.60
2025-04-04,Deportivo Binacional,1.00,Ayacucho,0.83,1,1,1.70,4.00,4.33
2025-03-30,Juan Pablo II College,0.94,UTC Cajamarca,0.92,4,2,2.10,3.20,3.50
2025-03-30,Los Chankas,1.43,Alianza Universidad,0.80,3,1,1.91,3.40,3.70
2025-03-29,Deportivo Garcilaso,1.49,Sport Boys,1.03,4,0,1.45,3.90,7.00
